Driver,LapTime,Sector1Time,Sector2Time,Sector3Time
RIC,0 days 00:01:41.817000,0 days 00:00:27.248000,0 days 00:00:30.495000,0 days 00:00:44.074000
RIC,0 days 00:01:59.371000,0 days 00:00:26.953000,0 days 00:00:34.798000,0 days 00:00:57.620000
RIC,0 days 00:02:14.125000,0 days 00:00:35.429000,0 days 00:00:40.777000,0 days 00:00:57.919000
RIC,0 days 00:02:12.827000,0 days 00:00:35.679000,0 days 00:00:39.400000,0 days 00:00:57.748000
RIC,0 days 00:02:12.652000,0 days 00:00:36.646000,0 days 00:00:40.163000,0 days 00:00:55.843000
RIC,0 days 00:02:08.183000,0 days 00:00:30.561000,0 days 00:00:39.020000,0 days 00:00:58.602000
RIC,0 days 00:01:54.803000,0 days 00:00:27.471000,0 days 00:00:30.614000,0 days 00:00:56.718000
RIC,0 days 00:02:26.589000,0 days 00:00:30.940000,0 days 00:00:50.989000,0 days 00:01:04.660000
RIC,0 days 00:02:25.366000,0 days 00:00:39.912000,0 days 00:00:46.527000,0 days 00:00:58.927000
RIC,0 days 00:02:21.054000,0 days 00:00:36.799000,0 days 00:00:44.410000,0 days 00:00:59.845000
RIC,0 days 00:02:23.797000,0 days 00:00:35.265000,0 days 00:00:44.231000,0 days 00:01:04.301000
RIC,0 days 00:01:44.075000,0 days 00:00:27.245000,0 days 00:00:31.834000,0 days 00:00:44.996000
RIC,0 days 00:01:55.415000,0 days 00:00:27.826000,0 days 00:00:31.104000,0 days 00:00:56.485000
OCO,0 days 00:01:43.022000,0 days 00:00:27.727000,0 days 00:00:30.952000,0 days 00:00:44.343000
OCO,0 days 00:01:42.807000,0 days 00:00:27.250000,0 days 00:00:31.315000,0 days 00:00:44.242000
OCO,0 days 00:01:43.002000,0 days 00:00:27.228000,0 days 00:00:31.186000,0 days 00:00:44.588000
OCO,0 days 00:01:43.105000,0 days 00:00:27.270000,0 days 00:00:31.336000,0 days 00:00:44.499000
OCO,0 days 00:01:43.212000,0 days 00:00:27.330000,0 days 00:00:31.387000,0 days 00:00:44.495000
OCO,0 days 00:01:43.549000,0 days 00:00:27.503000,0 days 00:00:31.450000,0 days 00:00:44.596000
OCO,0 days 00:01:44.045000,0 days 00:00:27.521000,0 days 00:00:31.763000,0 days 00:00:44.761000
OCO,0 days 00:01:48.290000,0 days 00:00:27.150000,0 days 00:00:31.150000,0 days 00:00:49.990000
OCO,0 days 00:02:00.652000,0 days 00:00:46.251000,0 days 00:00:30.427000,0 days 00:00:43.974000
OCO,0 days 00:01:41.472000,0 days 00:00:26.867000,0 days 00:00:30.508000,0 days 00:00:44.097000
OCO,0 days 00:01:41.793000,0 days 00:00:27.224000,0 days 00:00:30.561000,0 days 00:00:44.008000
OCO,0 days 00:01:42.193000,0 days 00:00:27.207000,0 days 00:00:30.859000,0 days 00:00:44.127000
OCO,0 days 00:01:42.112000,0 days 00:00:27.255000,0 days 00:00:30.815000,0 days 00:00:44.042000
OCO,0 days 00:01:42.357000,0 days 00:00:27.368000,0 days 00:00:30.759000,0 days 00:00:44.230000
OCO,0 days 00:01:42.443000,0 days 00:00:27.243000,0 days 00:00:30.738000,0 days 00:00:44.462000
OCO,0 days 00:01:42.550000,0 days 00:00:27.267000,0 days 00:00:30.705000,0 days 00:00:44.578000
OCO,0 days 00:01:42.486000,0 days 00:00:27.338000,0 days 00:00:30.703000,0 days 00:00:44.445000
OCO,0 days 00:01:42.544000,0 days 00:00:27.397000,0 days 00:00:30.700000,0 days 00:00:44.447000
OCO,0 days 00:01:42.599000,0 days 00:00:27.330000,0 days 00:00:30.683000,0 days 00:00:44.586000
OCO,0 days 00:01:57.545000,0 days 00:00:27.289000,0 days 00:00:31.427000,0 days 00:00:58.829000
OCO,0 days 00:02:15.159000,0 days 00:00:36.276000,0 days 00:00:41.587000,0 days 00:00:57.296000
OCO,0 days 00:02:17.613000,0 days 00:00:35.058000,0 days 00:00:40.399000,0 days 00:01:02.156000
OCO,0 days 00:02:28.655000,0 days 00:00:54.763000,0 days 00:00:38.369000,0 days 00:00:55.523000
OCO,0 days 00:01:56.221000,0 days 00:00:26.849000,0 days 00:00:31.651000,0 days 00:00:57.721000
OCO,0 days 00:02:27.921000,0 days 00:00:34.696000,0 days 00:00:42.648000,0 days 00:01:10.577000
OCO,0 days 00:01:56.712000,0 days 00:00:27.499000,0 days 00:00:31.212000,0 days 00:00:58.001000
OCO,0 days 00:02:27.622000,0 days 00:00:32.276000,0 days 00:00:51.266000,0 days 00:01:04.080000
OCO,0 days 00:02:24.917000,0 days 00:00:39.620000,0 days 00:00:46.679000,0 days 00:00:58.618000
OCO,0 days 00:02:21.322000,0 days 00:00:37.308000,0 days 00:00:44.977000,0 days 00:00:59.037000
OCO,0 days 00:02:22.345000,0 days 00:00:35.999000,0 days 00:00:44.441000,0 days 00:01:01.905000
OCO,0 days 00:01:41.902000,0 days 00:00:26.904000,0 days 00:00:30.937000,0 days 00:00:44.061000
OCO,0 days 00:01:40.937000,0 days 00:00:26.841000,0 days 00:00:30.139000,0 days 00:00:43.957000
OCO,0 days 00:01:40.972000,0 days 00:00:26.909000,0 days 00:00:30.284000,0 days 00:00:43.779000
OCO,0 days 00:01:41.009000,0 days 00:00:26.806000,0 days 00:00:30.340000,0 days 00:00:43.863000
OCO,0 days 00:01:41.194000,0 days 00:00:27.012000,0 days 00:00:30.386000,0 days 00:00:43.796000
OCO,0 days 00:01:41.361000,0 days 00:00:27.147000,0 days 00:00:30.394000,0 days 00:00:43.820000
OCO,0 days 00:01:41.131000,0 days 00:00:27.017000,0 days 00:00:30.303000,0 days 00:00:43.811000
OCO,0 days 00:01:41.313000,0 days 00:00:27.103000,0 days 00:00:30.393000,0 days 00:00:43.817000
OCO,0 days 00:01:41.592000,0 days 00:00:27.062000,0 days 00:00:30.528000,0 days 00:00:44.002000
OCO,0 days 00:01:41.653000,0 days 00:00:27.133000,0 days 00:00:30.517000,0 days 00:00:44.003000
OCO,0 days 00:01:41.515000,0 days 00:00:26.965000,0 days 00:00:30.541000,0 days 00:00:44.009000
OCO,0 days 00:01:41.535000,0 days 00:00:27.081000,0 days 00:00:30.398000,0 days 00:00:44.056000
